名称,地址,电话,评分,评论数,价格区间,封面图片链接,纬度,经度,是否营业中,品类,Yelp链接,城市,街区/街道,街道,区块,行政区,邮编,营业时间
Le Majestique,"4105 Boulevard Saint-Laurent, Montreal, QC H2W 1Y7, Canada",+1 514-439-1850,4.4,220,$$,https://s3-media2.fl.yelpcdn.com/bphoto/c01JJXh3AF7wJ_SZ7fadVw/o.jpg,45.5175436,-73.5802618,True,"Bars, Canadian (New)",https://www.yelp.com/biz/le-majestique-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"4105 Boulevard Saint-Laurent, Montreal, QC H2W 1Y7, Canada",Boulevard Saint-Laurent,Le Plateau-Mont-Royal,Montréal,H2W 1Y7,周一：16:00 - 03:00 | 周二：16:00 - 03:00 | 周三：16:00 - 03:00 | 周四：16:00 - 03:00 | 周五：16:00 - 03:00 | 周六：16:00 - 03:00 | 周日：16:00 - 03:00
Monarque,"406 Rue Saint-Jacques, Montreal, QC H2Y 1S1, Canada",+1 514-875-3896,4.5,230,$$$,https://s3-media2.fl.yelpcdn.com/bphoto/dxt1xCmsCGmt0_Vt-40y6Q/o.jpg,45.50158,-73.55962,True,Brasseries,https://www.yelp.com/biz/monarque-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"406 Rue Saint-Jacques, Montreal, QC H2Y 1S1, Canada",Rue Notre-Dame Ouest,Ville-Marie,Montréal,H3C 0S5,周一：11:30 - 00:00 | 周二：11:30 - 00:00 | 周三：11:30 - 00:00 | 周四：11:30 - 00:00 | 周五：11:30 - 00:00 | 周六：17:00 - 00:00 | 周日：17:00 - 00:00
L'Avenue,"922 Avenue du Mont-Royal E, Montreal, QC H2J 1X2, Canada",+1 514-523-8780,4.5,1326,$$,https://s3-media4.fl.yelpcdn.com/bphoto/DuiajkKmEjCCGPq2VmwOqw/o.jpg,45.5266781712886,-73.5802391312828,True,Breakfast & Brunch,https://www.yelp.com/biz/l-avenue-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"922 Avenue du Mont-Royal E, Montreal, QC H2J 1X2, Canada",Avenue du Mont-Royal Est,Le Plateau-Mont-Royal,Montréal,H2J 1X2,周一：08:00 - 16:00 | 周二：08:00 - 16:00 | 周三：08:00 - 16:00 | 周四：08:00 - 16:00 | 周五：08:00 - 16:00 | 周六：08:00 - 16:00 | 周日：08:00 - 16:00
Bar George,"1440 Rue Drummond, Montreal, QC H3G 1V9, Canada",+1 514-669-9243,4.3,282,$$,https://s3-media4.fl.yelpcdn.com/bphoto/dQvEd0hdvQXQ-5KyooTuKQ/o.jpg,45.49914524060438,-73.575678,True,"British, Breakfast & Brunch, Bars",https://www.yelp.com/biz/bar-george-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1440 Rue Drummond, Montreal, QC H3G 1V9, Canada",Rue Drummond,Ville-Marie,Montréal,H3G 1V9,周一：07:00 - 00:00 | 周二：07:00 - 00:00 | 周三：07:00 - 00:00 | 周四：07:00 - 01:00 | 周五：07:00 - 03:00 | 周六：08:00 - 03:00 | 周日：08:00 - 00:00
L'Express,"3927 Rue Saint-Denis, Montreal, QC H2W 2M4, Canada",+1 514-845-5333,4.3,733,$$$,https://s3-media1.fl.yelpcdn.com/bphoto/h97uT7tFmsCu_mt80dO0Kw/o.jpg,45.52032,-73.57437,True,French,https://www.yelp.com/biz/l-express-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"3927 Rue Saint-Denis, Montreal, QC H2W 2M4, Canada",Rue Saint-Denis,Le Plateau-Mont-Royal,Montréal,H2W 2M4,周一：11:30 - 02:00 | 周二：11:30 - 02:00 | 周三：11:30 - 02:00 | 周四：11:30 - 02:00 | 周五：11:30 - 02:00 | 周六：11:30 - 02:00 | 周日：11:30 - 02:00
La Banquise,"994 Rue Rachel E, Montreal, QC H2J 2J3, Canada",+1 514-525-2415,4.0,2383,$$,https://s3-media4.fl.yelpcdn.com/bphoto/82UgjL1__Yn5tWOofKe-Gg/o.jpg,45.525354,-73.574769,True,Poutineries,https://www.yelp.com/biz/la-banquise-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"994 Rue Rachel E, Montreal, QC H2J 2J3, Canada",Rachel Street East,Le Plateau-Mont-Royal,Montreal,H2J 2J3,周一：11:00 - 01:00 | 周二：11:00 - 01:00 | 周三：11:00 - 01:00 | 周四：11:00 - 01:00 | 周五：11:00 - 01:00 | 周六：11:00 - 01:00 | 周日：11:00 - 01:00
Damas,"1201 Avenue Van Horne, Montreal, QC H2V 1K4, Canada",+1 514-439-5435,4.7,475,$$$,https://s3-media4.fl.yelpcdn.com/bphoto/bLKI6E_LQwbDrHs2oYjVVQ/o.jpg,45.52258,-73.61344,True,Syrian,https://www.yelp.com/biz/damas-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1201 Avenue Van Horne, Montreal, QC H2V 1K4, Canada",Avenue Bloomfield,Outremont,Montréal,H2V 3S6,周三：17:30 - 22:00 | 周四：17:30 - 22:00 | 周五：17:30 - 22:00 | 周六：17:30 - 22:00 | 周日：17:30 - 22:00
Poutineville,"1365 Rue Ontario E, Montreal, QC H2L 1S1, Canada",+1 514-419-5444,4.3,649,$$,https://s3-media1.fl.yelpcdn.com/bphoto/QOKwiufOAeSHaLo_TUGZww/o.jpg,45.523205,-73.5613,True,Poutineries,https://www.yelp.com/biz/poutineville-montr%C3%A9al-3?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1365 Rue Ontario E, Montreal, QC H2L 1S1, Canada",Rue Ontario Est,Ville-Marie,Montréal,H2L 1S2,周一：11:00 - 23:00 | 周二：11:00 - 23:00 | 周三：11:00 - 23:00 | 周四：11:00 - 01:00 | 周五：11:00 - 05:00 | 周六：11:00 - 05:00 | 周日：11:00 - 23:00
Schwartz's,"3895 Boulevard Saint-Laurent, Montreal, QC H2W 1X9, Canada",+1 514-842-4813,4.1,3430,$$,https://s3-media4.fl.yelpcdn.com/bphoto/i40A7zihCwhEOBn_fqKLjw/o.jpg,45.516353,-73.577642,True,"Delis, Sandwiches",https://www.yelp.com/biz/schwartzs-montr%C3%A9al-4?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"3895 Boulevard Saint-Laurent, Montreal, QC H2W 1X9, Canada",Boulevard Saint-Laurent,Le Plateau-Mont-Royal,Montréal,H2W 1Y3,周一：10:00 - 23:00 | 周二：10:00 - 23:00 | 周三：10:00 - 23:00 | 周四：10:00 - 23:00 | 周五：10:00 - 00:00 | 周六：10:00 - 00:00 | 周日：10:00 - 23:00
Joe Beef,"2491 Rue Notre-Dame Ouest, Montreal, QC H3J 1N6, Canada",+1 514-935-6504,4.3,845,$$$,https://s3-media3.fl.yelpcdn.com/bphoto/vuApa_mHafFqQscFg00mrQ/o.jpg,45.483062,-73.575308,True,"Seafood, Steakhouses",https://www.yelp.com/biz/joe-beef-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"2491 Rue Notre-Dame Ouest, Montreal, QC H3J 1N6, Canada",Rue Notre-Dame Ouest,Le Sud-Ouest,Montréal,H3J 1N6,周二：17:30 - 22:30 | 周三：17:30 - 22:30 | 周四：17:30 - 22:30 | 周五：17:30 - 22:30 | 周六：17:30 - 22:30
Le Colonel Moutarde,"4418 Rue Saint-Denis, Montreal, QC H2J 2L1, Canada",+1 438-385-4418,4.5,27,$$,https://s3-media4.fl.yelpcdn.com/bphoto/18YVlCBP4kDm_5bwkxz9Iw/o.jpg,45.52324,-73.5819,True,Canadian (New),https://www.yelp.com/biz/le-colonel-moutarde-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"4418 Rue Saint-Denis, Montreal, QC H2J 2L1, Canada",Rue Saint-Denis,Le Plateau-Mont-Royal,Montréal,H2J 2L1,周一：16:00 - 02:00 | 周二：16:00 - 02:00 | 周三：16:00 - 02:00 | 周四：16:00 - 02:00 | 周五：16:00 - 02:00 | 周六：16:00 - 02:00 | 周日：16:00 - 02:00
Barranco MTL,"4552 Rue Saint-Denis, Montreal, QC H2J 2L3, Canada",+1 514-282-9000,4.4,70,,https://s3-media3.fl.yelpcdn.com/bphoto/tx4mrMyw6svhRKj6jVIwOg/o.jpg,45.52426823888716,-73.58393073864245,True,"Tapas Bars, Peruvian, Cocktail Bars",https://www.yelp.com/biz/barranco-mtl-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"4552 Rue Saint-Denis, Montreal, QC H2J 2L3, Canada",Québec 335,Le Plateau-Mont-Royal,Montréal,H2J 2L3,周一：12:00 - 23:00 | 周二：12:00 - 23:00 | 周三：12:00 - 23:00 | 周四：12:00 - 23:00 | 周五：12:00 - 23:30 | 周六：12:00 - 23:30 | 周日：12:00 - 23:00
Chifa,"1080 Rue de Bleury, Montreal, QC H2Z 1N2, Canada",+1 514-543-8488,4.3,54,,https://s3-media3.fl.yelpcdn.com/bphoto/PXriv6JUIqzJAKwDt6LR4Q/o.jpg,45.50441,-73.5637,True,Peruvian,https://www.yelp.com/biz/chifa-montr%C3%A9al?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1080 Rue de Bleury, Montreal, QC H2Z 1N2, Canada",Rue de Bleury,Ville-Marie,Montréal,H2Z 1N2,周一：17:00 - 23:00 | 周三：17:00 - 23:00 | 周四：17:00 - 02:00 | 周五：17:00 - 02:00 | 周六：17:00 - 02:00 | 周日：17:00 - 23:00
Au Pied de Cochon,"536 Avenue Duluth E, Montreal, QC H2L 1A9, Canada",+1 514-281-1114,4.2,1475,$$$,https://s3-media1.fl.yelpcdn.com/bphoto/Ny7fDciJMjq88wS-ogFLWQ/o.jpg,45.522169,-73.57445,True,Canadian (New),https://www.yelp.com/biz/au-pied-de-cochon-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"536 Avenue Duluth E, Montreal, QC H2L 1A9, Canada",Avenue De Chateaubriand,Le Plateau-Mont-Royal,Montréal,H2L 4A5,周三：17:00 - 00:00 | 周四：17:00 - 00:00 | 周五：17:00 - 00:00 | 周六：17:00 - 00:00 | 周日：17:00 - 00:00
Modavie,"1 Rue Saint-Paul O, Montreal, QC H2Y 1Y6, Canada",+1 514-287-9582,4.1,1036,$$$,https://s3-media3.fl.yelpcdn.com/bphoto/9KvZs-4sbkFmSoOz9OE90Q/o.jpg,45.50548,-73.55396,True,"French, Mediterranean",https://www.yelp.com/biz/modavie-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1 Rue Saint-Paul O, Montreal, QC H2Y 1Y6, Canada",Rue Saint-Paul Ouest,Ville-Marie,Montréal,H2Y 1Y6,周一：11:30 - 23:00 | 周二：11:30 - 23:00 | 周三：11:30 - 23:00 | 周四：11:30 - 23:00 | 周五：11:30 - 23:00 | 周六：10:30 - 23:00 | 周日：10:30 - 23:00
Caifan,"4542 Rue Saint-Denis, Montreal, QC H2J 2L3, Canada",+1 514-665-8227,5.0,7,,https://s3-media2.fl.yelpcdn.com/bphoto/Q2TSCcyTFkNMrWltGRkS6Q/o.jpg,45.524179,-73.583853,True,Mexican,https://www.yelp.com/biz/caifan-montr%C3%A9al-8?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"4542 Rue Saint-Denis, Montreal, QC H2J 2L3, Canada",Rue Saint-Denis,Le Plateau-Mont-Royal,Montréal,H2J 2L3,周二：17:00 - 23:00 | 周三：17:00 - 23:00 | 周四：17:00 - 23:00 | 周五：17:00 - 23:30 | 周六：17:00 - 23:30 | 周日：17:00 - 23:00
Les Deux Gamins,"170 Rue Prince Arthur E, Montreal, QC H2X 1B7, Canada",+1 514-288-3389,4.2,635,$$,https://s3-media1.fl.yelpcdn.com/bphoto/29_U_qshjKMtsDovPb1K1A/o.jpg,45.51551334829121,-73.57096217359745,True,"French, Wine Bars, Cocktail Bars",https://www.yelp.com/biz/les-deux-gamins-montr%C3%A9al-3?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"170 Rue Prince Arthur E, Montreal, QC H2X 1B7, Canada",Rue Prince-Arthur Est,Le Plateau-Mont-Royal,Montréal,H2X 3B7,周一：17:30 - 21:30 | 周四：17:30 - 21:30 | 周五：17:30 - 21:30 | 周六：17:30 - 21:30 | 周日：17:30 - 21:30
Ma Poule Mouillée,"969 Rue Rachel E, Montreal, QC H2J 2J2, Canada",+1 514-522-5175,4.4,668,$$,https://s3-media3.fl.yelpcdn.com/bphoto/GYLkbku0wgmBRhlqYVXKCA/o.jpg,45.5251692,-73.5752667883391,True,"Portuguese, Chicken Shop",https://www.yelp.com/biz/ma-poule-mouill%C3%A9e-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"969 Rue Rachel E, Montreal, QC H2J 2J2, Canada",Rue Rachel Est,Le Plateau-Mont-Royal,Montréal,H2J 2J4,周二：11:00 - 21:00 | 周三：11:00 - 21:00 | 周四：11:00 - 21:00 | 周五：11:00 - 21:00 | 周六：11:00 - 21:00 | 周日：11:00 - 21:00
Nouilles de Lan Zhou,"1006 Boulevard Saint-Laurent, Montreal, QC H2Z 1J4, Canada",+1 514-800-2959,4.3,763,$$,https://s3-media3.fl.yelpcdn.com/bphoto/duPvuedwwIRstatHU6Qthg/o.jpg,45.5077814027869,-73.559594,True,"Chinese, Noodles",https://www.yelp.com/biz/nouilles-de-lan-zhou-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1006 Boulevard Saint-Laurent, Montreal, QC H2Z 1J4, Canada",Boulevard Saint-Laurent,Ville-Marie,Montréal,H2Z 9Y9,周一：11:00 - 21:00 | 周二：11:00 - 21:00 | 周三：11:00 - 21:00 | 周四：11:00 - 21:00 | 周五：11:00 - 21:30 | 周六：11:00 - 21:30 | 周日：11:00 - 21:00
Kazu,"1844 Rue Sainte-Catherine O, Montreal, QC H3H 1M1, Canada",+1 514-937-2333,4.3,750,$$,https://s3-media2.fl.yelpcdn.com/bphoto/Nm5_Y8azxjHTjmWRRqCHyA/o.jpg,45.492867,-73.580078,True,Japanese,https://www.yelp.com/biz/kazu-montr%C3%A9al-2?adjust_creative=C0K9A7U4VvBk9hDCNLvJrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C0K9A7U4VvBk9hDCNLvJrQ,Montreal,"1844 Rue Sainte-Catherine O, Montreal, QC H3H 1M1, Canada",Rue Sainte-Catherine,Ville-Marie,Montréal,H3H 1M1,周四：17:00 - 21:30 | 周五：17:00 - 21:30 | 周六：17:00 - 21:30 | 周日：17:00 - 21:00
